epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,612.289,1.07373,2.47894,1.46007,0.56494,0.46612,0.49594,0.31117,1.17856,2.43473,1.5488,0.000552473,0.000552473,0.000552473
2,1199.48,1.19381,2.11954,1.56893,0.54072,0.48757,0.48658,0.31888,1.31357,2.04325,1.66859,0.000998434,0.000998434,0.000998434
3,1724.21,1.20957,1.89223,1.59237,0.55018,0.53521,0.50855,0.31877,1.31542,1.98203,1.69472,0.00133437,0.00133437,0.00133437
4,2203.71,1.16813,1.68822,1.57152,0.64756,0.52259,0.56211,0.35681,1.29493,1.67192,1.64905,0.0011719,0.0011719,0.0011719
5,2675.12,1.13798,1.54885,1.55731,0.63223,0.55349,0.57596,0.38369,1.2283,1.5276,1.57029,0.00100687,0.00100687,0.00100687
6,3128.63,1.08799,1.45275,1.49242,0.61993,0.58505,0.58513,0.38818,1.23499,1.48848,1.56517,0.000841835,0.000841835,0.000841835
7,3600.32,1.03823,1.37295,1.47472,0.63015,0.58613,0.58643,0.39882,1.19346,1.44487,1.54508,0.000676802,0.000676802,0.000676802
8,4055.7,1.00106,1.31671,1.43331,0.67381,0.58668,0.60536,0.40592,1.16902,1.39489,1.5062,0.000511769,0.000511769,0.000511769
9,4510.81,0.93888,1.23466,1.39285,0.66007,0.60075,0.6159,0.42074,1.12761,1.37071,1.47946,0.000346736,0.000346736,0.000346736
10,5071.99,0.89089,1.16527,1.35086,0.7112,0.56545,0.62925,0.44231,1.124,1.29678,1.47063,0.000181703,0.000181703,0.000181703
